location,area_sqft,bedrooms,bathrooms,balconies,floors,parking,property_age,furnishing_status,property_type,distance_from_city_center,nearby_schools,nearby_hospitals,crime_rate,price
Gurgaon,759,1,1,1,23,2,25,Semi-Furnished,Independent House,16.7,2,4,6.6,3552000.0
Noida,1607,3,3,1,8,1,7,Unfurnished,Apartment,19.9,6,4,3.7,6212000.0
Greater Noida,1656,3,2,2,16,1,22,Semi-Furnished,Apartment,10.7,3,0,3.7,4966000.0
Gurgaon,2404,5,5,2,14,2,0,Semi-Furnished,Apartment,1.8,6,2,5.5,15824000.0
Delhi,610,1,1,2,13,1,25,Furnished,Independent House,22.3,4,4,8.8,3394000.0
Greater Noida,1407,3,2,1,23,1,27,Furnished,Independent House,9.6,5,0,8.2,6165000.0
Greater Noida,1008,1,1,1,21,1,20,Unfurnished,Builder Floor,23.7,6,1,9.7,2858000.0
Delhi,1031,2,1,2,13,0,25,Unfurnished,Apartment,26.4,9,7,1.6,4347000.0
Gurgaon,1939,3,3,3,5,0,8,Furnished,Villa,32.1,6,0,3.4,16050000.0
Delhi,1786,3,2,1,16,1,27,Furnished,Apartment,33.6,6,7,1.7,9513000.0
Faridabad,1627,3,3,0,11,1,26,Semi-Furnished,Apartment,1.4,6,0,7.8,4374000.0
Greater Noida,2274,4,4,0,22,2,11,Unfurnished,Apartment,34.7,6,0,2.3,6312000.0
Ghaziabad,1606,3,3,1,5,0,21,Furnished,Apartment,24.2,2,7,1.9,4321000.0
Ghaziabad,2517,5,4,2,13,0,7,Semi-Furnished,Villa,22.9,2,5,6.1,11515000.0
Noida,2356,4,4,0,11,0,25,Unfurnished,Independent House,1.5,6,0,4.7,11569000.0
Delhi,1747,3,2,1,19,0,16,Furnished,Apartment,30.3,1,7,7.4,8391000.0
Delhi,2033,4,3,1,3,0,9,Furnished,Builder Floor,5.9,1,4,5.4,13811000.0
Noida,1443,3,2,0,15,1,26,Semi-Furnished,Villa,29.5,2,6,4.8,7209000.0
Noida,741,1,1,1,7,1,6,Unfurnished,Independent House,1.5,3,6,4.8,4399000.0
Noida,1575,3,3,1,7,1,18,Furnished,Builder Floor,23.0,5,6,8.8,6897000.0
Greater Noida,1048,1,1,1,6,2,24,Semi-Furnished,Villa,15.8,7,6,4.6,5124000.0
Faridabad,1991,3,2,2,3,1,5,Semi-Furnished,Villa,7.8,9,5,4.0,10552000.0
Delhi,1481,3,3,1,13,0,20,Semi-Furnished,Independent House,4.7,9,2,4.0,10614000.0
Greater Noida,734,1,1,1,7,0,23,Semi-Furnished,Apartment,16.0,6,7,2.8,2170000.0
Noida,1176,2,2,3,5,2,23,Semi-Furnished,Apartment,5.2,3,0,8.7,4582000.0
Delhi,2182,4,4,2,23,1,27,Semi-Furnished,Independent House,17.5,1,3,2.3,11079000.0
Greater Noida,1642,3,3,2,18,2,27,Semi-Furnished,Apartment,22.3,1,6,9.2,3991000.0
Faridabad,1566,2,1,0,22,2,18,Semi-Furnished,Independent House,29.1,3,1,3.6,4921000.0
Greater Noida,1540,3,2,0,8,2,17,Semi-Furnished,Apartment,24.1,5,6,9.1,4131000.0
Faridabad,1856,3,2,0,17,2,14,Unfurnished,Apartment,3.2,2,6,8.1,5130000.0
Noida,1839,3,2,1,20,1,1,Furnished,Apartment,11.5,5,1,6.2,9189000.0
Faridabad,2255,5,5,1,1,1,13,Unfurnished,Apartment,10.8,4,5,7.0,5733000.0
Delhi,1926,3,2,3,14,2,20,Unfurnished,Villa,32.1,4,1,3.9,12180000.0
Noida,1418,2,2,1,17,1,9,Furnished,Independent House,30.5,1,1,6.2,6794000.0
Delhi,1887,4,3,1,10,0,27,Semi-Furnished,Independent House,13.6,7,5,3.6,11438000.0
Ghaziabad,1807,4,3,2,12,1,15,Semi-Furnished,Builder Floor,3.4,4,1,4.6,6263000.0
Gurgaon,1476,2,1,1,16,1,6,Furnished,Apartment,31.4,1,0,7.9,7247000.0
Faridabad,1214,2,2,2,14,2,7,Semi-Furnished,Builder Floor,31.2,6,6,3.2,3609000.0
Gurgaon,1551,2,2,2,16,1,9,Furnished,Builder Floor,30.1,8,2,8.5,8745000.0
Gurgaon,1896,3,2,2,8,1,14,Furnished,Builder Floor,29.7,8,5,4.4,9945000.0
Faridabad,1902,3,3,3,23,2,7,Unfurnished,Apartment,17.3,0,3,5.8,4428000.0
Noida,1644,3,2,1,10,2,12,Furnished,Builder Floor,7.0,6,5,9.5,8254000.0
Ghaziabad,2677,5,4,1,17,1,11,Unfurnished,Apartment,17.2,8,4,7.1,6627000.0
Delhi,2108,4,3,3,18,1,7,Semi-Furnished,Villa,17.8,5,3,6.8,15870000.0
Greater Noida,1230,2,2,2,20,1,14,Unfurnished,Independent House,17.7,0,4,7.4,3926000.0
Delhi,1382,2,1,1,16,1,25,Semi-Furnished,Apartment,19.3,1,7,9.3,5519000.0
Greater Noida,1554,3,2,3,17,0,11,Furnished,Builder Floor,9.8,3,7,3.2,6492000.0
Delhi,1174,2,1,0,16,1,10,Semi-Furnished,Independent House,13.5,3,5,6.5,8301000.0
Faridabad,1514,3,3,3,19,1,18,Furnished,Apartment,15.8,1,4,4.6,3962000.0
Ghaziabad,2189,4,3,0,24,1,13,Semi-Furnished,Independent House,5.5,7,3,1.1,9855000.0
Greater Noida,1310,2,2,1,24,1,26,Unfurnished,Independent House,16.5,1,0,2.1,3743000.0
Noida,1699,3,2,2,8,0,17,Furnished,Apartment,28.6,2,5,3.9,6657000.0
Delhi,1817,4,4,1,6,1,12,Semi-Furnished,Apartment,29.2,3,5,6.1,9230000.0
Delhi,1411,3,2,1,6,1,3,Unfurnished,Apartment,15.0,8,1,8.9,6835000.0
Greater Noida,1403,2,1,1,21,1,16,Unfurnished,Apartment,18.6,9,5,8.1,3731000.0
Noida,1631,3,3,3,9,0,18,Semi-Furnished,Apartment,2.1,0,6,6.0,6618000.0
Noida,877,1,1,2,4,1,26,Furnished,Independent House,23.9,7,7,1.7,4507000.0
Faridabad,2552,5,4,2,12,2,8,Semi-Furnished,Apartment,14.8,4,6,3.6,7018000.0
Faridabad,902,1,1,2,12,1,22,Furnished,Apartment,16.1,6,5,4.3,2491000.0
Faridabad,1940,3,2,2,23,0,6,Unfurnished,Villa,30.7,7,7,6.6,7400000.0
Faridabad,1869,3,2,1,17,1,0,Unfurnished,Independent House,16.7,4,7,1.6,6430000.0
Faridabad,2276,5,4,1,15,2,6,Unfurnished,Apartment,1.7,7,0,5.8,6939000.0
Faridabad,1520,2,2,2,9,1,25,Unfurnished,Apartment,8.7,9,1,9.1,3797000.0
Ghaziabad,1023,2,1,1,7,1,6,Furnished,Apartment,17.2,7,2,7.3,3383000.0
Noida,614,1,1,0,10,1,19,Unfurnished,Builder Floor,15.4,8,4,8.2,2244000.0
Faridabad,1524,2,1,0,16,1,6,Unfurnished,Apartment,30.3,1,3,7.1,3448000.0
Noida,1346,2,2,1,12,2,7,Furnished,Builder Floor,19.4,2,2,2.9,6253000.0
Noida,1571,3,3,2,7,1,15,Unfurnished,Villa,24.4,0,1,2.0,7668000.0
Gurgaon,1326,2,1,1,18,1,2,Furnished,Apartment,17.0,3,6,8.5,6972000.0
Ghaziabad,1084,1,1,2,15,1,12,Semi-Furnished,Independent House,15.9,4,6,7.3,3521000.0
Faridabad,2288,4,3,1,6,0,9,Unfurnished,Villa,16.2,0,6,6.2,8940000.0
Delhi,1461,2,1,1,12,1,17,Semi-Furnished,Apartment,15.0,7,0,2.7,7157000.0
Greater Noida,1377,2,1,1,11,1,6,Furnished,Independent House,19.3,1,7,6.4,6290000.0
Delhi,1587,2,1,2,20,0,20,Semi-Furnished,Builder Floor,9.5,0,6,1.3,8358000.0
Ghaziabad,2363,5,4,2,3,0,20,Semi-Furnished,Villa,31.3,1,3,2.1,8945000.0
Greater Noida,1371,2,2,3,2,0,29,Unfurnished,Builder Floor,12.3,4,4,3.8,4028000.0
Ghaziabad,2372,4,3,2,6,2,4,Semi-Furnished,Builder Floor,6.0,8,5,5.0,10217000.0
Noida,2223,4,4,2,24,1,22,Semi-Furnished,Builder Floor,4.3,8,5,2.1,10787000.0
Greater Noida,1076,1,1,2,22,2,24,Unfurnished,Independent House,1.5,1,2,2.1,4589000.0
Noida,2581,5,4,3,5,0,26,Semi-Furnished,Independent House,15.4,1,4,7.5,10662000.0
Delhi,1154,2,2,2,18,2,23,Semi-Furnished,Builder Floor,7.4,2,1,6.1,6394000.0
Delhi,856,1,1,0,16,0,21,Semi-Furnished,Independent House,1.7,6,4,5.8,6678000.0
Greater Noida,1867,4,4,1,8,1,6,Unfurnished,Apartment,18.7,2,0,5.1,5373000.0
Greater Noida,1743,3,3,2,20,2,24,Semi-Furnished,Apartment,24.1,0,2,9.8,4263000.0
Faridabad,1676,3,3,2,22,1,29,Semi-Furnished,Apartment,3.9,5,2,1.4,5070000.0
Ghaziabad,1390,2,1,1,11,1,26,Furnished,Apartment,16.7,2,0,2.6,3736000.0
Faridabad,1848,3,3,2,10,0,21,Furnished,Apartment,26.3,0,4,6.8,4871000.0
Ghaziabad,2058,4,3,3,24,0,16,Furnished,Villa,34.5,3,6,2.2,9595000.0
Faridabad,1306,2,2,1,12,1,3,Furnished,Apartment,23.7,0,0,6.3,3862000.0
Noida,1094,2,2,2,21,1,23,Semi-Furnished,Builder Floor,9.3,0,6,6.1,3968000.0
Greater Noida,1063,1,1,0,6,1,22,Unfurnished,Apartment,25.4,1,3,9.7,2415000.0
Delhi,1245,2,2,0,20,1,15,Semi-Furnished,Independent House,21.3,9,0,9.0,6556000.0
Ghaziabad,1986,4,3,1,5,1,18,Unfurnished,Villa,8.2,7,6,9.5,8081000.0
Ghaziabad,1772,3,2,0,23,0,9,Unfurnished,Apartment,29.9,1,4,2.0,4922000.0
Delhi,2771,5,5,2,9,0,2,Unfurnished,Independent House,15.5,1,6,8.8,17273000.0
Faridabad,1405,2,2,0,16,2,26,Semi-Furnished,Apartment,33.7,9,0,2.2,3462000.0
Ghaziabad,1807,3,2,1,22,0,2,Semi-Furnished,Independent House,25.6,9,1,6.7,7162000.0
Noida,1124,2,1,1,14,1,27,Semi-Furnished,Apartment,22.9,7,5,7.5,3541000.0
Greater Noida,1336,2,1,1,22,0,16,Furnished,Villa,25.8,5,0,2.4,6546000.0
Delhi,1340,2,1,0,8,1,9,Semi-Furnished,Apartment,17.3,3,5,6.7,6683000.0
Greater Noida,1562,2,2,2,20,1,16,Unfurnished,Builder Floor,18.2,2,0,1.5,4832000.0
Ghaziabad,1577,3,3,1,19,1,21,Unfurnished,Independent House,29.9,0,4,3.6,4160000.0
Ghaziabad,2369,5,4,2,14,1,29,Furnished,Apartment,24.2,2,3,9.3,6399000.0
Delhi,1438,3,2,2,7,1,29,Semi-Furnished,Apartment,31.5,8,3,2.5,6758000.0
Noida,1068,2,1,0,5,1,16,Unfurnished,Apartment,31.3,4,5,1.6,4053000.0
Gurgaon,835,1,1,2,18,0,20,Furnished,Apartment,34.2,5,7,5.0,3926000.0
Delhi,1559,2,1,0,2,1,3,Semi-Furnished,Builder Floor,24.8,4,7,8.7,8836000.0
Gurgaon,1780,3,2,1,11,0,20,Unfurnished,Apartment,18.1,0,4,1.7,7026000.0
Faridabad,1856,4,4,0,22,2,22,Semi-Furnished,Apartment,6.7,9,6,4.2,5855000.0
Gurgaon,2476,5,5,1,8,1,5,Furnished,Apartment,25.0,0,4,9.1,11216000.0
Noida,698,1,1,1,1,0,11,Semi-Furnished,Independent House,10.9,3,7,2.1,4039000.0
Faridabad,1926,3,2,2,22,1,24,Unfurnished,Apartment,10.6,2,4,3.8,4957000.0
Gurgaon,1724,3,2,1,12,1,21,Semi-Furnished,Apartment,9.1,7,1,8.0,7227000.0
Faridabad,1860,3,2,2,2,1,24,Furnished,Apartment,30.8,6,2,5.9,4554000.0
Gurgaon,1578,3,3,1,18,1,19,Semi-Furnished,Apartment,30.5,6,7,8.5,6578000.0
Noida,1973,3,2,2,7,1,16,Semi-Furnished,Independent House,22.5,7,7,2.0,9456000.0
Gurgaon,1518,3,2,1,17,1,16,Semi-Furnished,Apartment,17.1,9,0,9.3,6280000.0
Gurgaon,1468,2,2,1,22,0,9,Unfurnished,Apartment,23.9,6,4,9.4,5728000.0
Gurgaon,2348,4,3,1,23,1,6,Furnished,Independent House,21.6,9,4,2.4,16899000.0
Delhi,1454,2,2,1,14,1,28,Unfurnished,Independent House,15.1,1,4,1.3,7804000.0
Delhi,1425,3,3,1,24,1,15,Furnished,Apartment,13.9,3,3,9.9,7123000.0
Delhi,1889,3,2,2,7,1,28,Semi-Furnished,Independent House,14.0,5,4,5.3,11339000.0
Noida,1407,3,3,0,22,1,12,Furnished,Villa,21.0,2,7,6.1,8315000.0
Faridabad,2315,4,3,2,3,1,2,Semi-Furnished,Apartment,23.0,2,0,6.5,5676000.0
Ghaziabad,2332,4,4,2,6,2,1,Semi-Furnished,Independent House,16.4,5,6,8.1,9028000.0
Gurgaon,1948,4,3,2,20,1,15,Semi-Furnished,Independent House,33.9,0,6,8.3,10342000.0
Gurgaon,1887,3,3,1,2,1,29,Furnished,Apartment,3.9,0,4,2.7,9719000.0
Noida,1424,3,2,1,17,1,5,Semi-Furnished,Apartment,12.8,4,0,3.1,5816000.0
Gurgaon,1954,3,3,3,12,2,5,Furnished,Apartment,15.2,0,1,8.9,8782000.0
Delhi,2224,4,4,2,12,0,12,Unfurnished,Independent House,1.6,9,6,8.4,15844000.0
Ghaziabad,1692,3,3,1,17,1,6,Unfurnished,Villa,13.4,7,7,6.6,7592000.0
Greater Noida,2384,5,4,1,10,1,4,Semi-Furnished,Builder Floor,10.3,1,2,10.0,8849000.0
Gurgaon,2753,5,4,1,3,0,23,Semi-Furnished,Apartment,18.2,5,3,7.6,10212000.0
Delhi,1830,3,3,2,20,0,6,Semi-Furnished,Builder Floor,12.4,9,0,2.9,12285000.0
Greater Noida,1316,2,1,2,18,1,1,Furnished,Builder Floor,25.7,9,6,8.6,5013000.0
Ghaziabad,1397,2,2,1,13,1,16,Semi-Furnished,Apartment,18.3,4,6,4.7,4071000.0
Greater Noida,2123,4,3,2,12,1,12,Unfurnished,Apartment,5.4,9,5,1.3,8609000.0
Delhi,1564,2,2,2,17,2,29,Semi-Furnished,Independent House,26.5,3,1,3.9,8347000.0
Faridabad,2395,4,3,1,4,0,24,Furnished,Apartment,4.4,0,2,7.9,6476000.0
Faridabad,1945,3,3,2,23,0,20,Unfurnished,Independent House,29.5,2,2,9.6,4987000.0
Greater Noida,1475,3,3,2,10,1,27,Semi-Furnished,Apartment,32.7,3,2,3.5,4081000.0
Noida,2285,4,4,1,11,1,26,Unfurnished,Apartment,12.0,1,7,3.2,7909000.0
Greater Noida,1487,3,3,2,6,1,20,Semi-Furnished,Apartment,32.5,1,0,6.1,3857000.0
Gurgaon,1631,3,2,1,6,0,27,Semi-Furnished,Apartment,28.0,1,1,8.3,5633000.0
Gurgaon,1406,3,3,1,9,1,15,Furnished,Villa,32.4,0,4,7.7,10152000.0
Faridabad,1549,2,1,1,15,1,25,Furnished,Apartment,23.7,9,5,6.0,4419000.0
Noida,1851,4,3,1,2,1,19,Unfurnished,Independent House,9.0,1,1,6.7,7936000.0
Delhi,1395,2,2,1,4,1,1,Furnished,Builder Floor,31.4,5,1,3.2,9977000.0
Gurgaon,2420,5,4,1,5,1,4,Unfurnished,Independent House,7.3,2,6,4.9,15940000.0
Faridabad,2227,4,3,2,17,1,17,Semi-Furnished,Apartment,8.2,9,1,3.3,6846000.0
Ghaziabad,1142,2,1,1,8,0,27,Furnished,Independent House,10.2,4,0,9.0,4147000.0
Faridabad,1762,3,3,2,8,0,6,Furnished,Independent House,11.3,0,5,2.0,7591000.0
Gurgaon,1781,3,2,0,22,1,10,Furnished,Apartment,18.5,7,0,7.1,8360000.0
Gurgaon,1560,2,1,3,12,1,24,Unfurnished,Apartment,25.3,3,5,3.3,5988000.0
Faridabad,2476,5,5,2,21,1,24,Semi-Furnished,Independent House,32.5,8,5,5.3,7633000.0
Delhi,870,1,1,0,8,1,10,Semi-Furnished,Villa,4.0,3,6,3.7,8399000.0
Greater Noida,1013,2,1,2,19,1,21,Semi-Furnished,Apartment,33.4,1,0,3.9,2591000.0
Gurgaon,1697,3,3,1,3,2,16,Furnished,Independent House,32.3,2,5,3.3,10652000.0
Faridabad,1863,3,2,2,18,1,15,Semi-Furnished,Villa,2.8,4,1,7.8,8999000.0
Faridabad,1926,3,2,1,21,0,12,Furnished,Independent House,13.3,9,0,4.3,6999000.0
Noida,2033,4,3,2,19,0,21,Unfurnished,Villa,28.6,5,5,7.5,10556000.0
Greater Noida,1974,3,3,2,19,1,4,Semi-Furnished,Independent House,21.8,6,7,5.1,8991000.0
Ghaziabad,1426,3,2,1,15,1,19,Semi-Furnished,Apartment,27.5,3,2,5.9,3558000.0
Delhi,1070,1,1,0,6,0,15,Semi-Furnished,Apartment,25.4,6,0,5.9,4757000.0
Ghaziabad,1092,2,2,2,16,1,27,Semi-Furnished,Apartment,17.9,9,6,9.8,2809000.0
Greater Noida,1308,2,1,1,8,0,21,Unfurnished,Independent House,2.4,2,7,4.3,5820000.0
Greater Noida,1051,2,2,1,16,1,21,Semi-Furnished,Independent House,20.9,6,7,2.9,3823000.0
Greater Noida,1718,3,3,0,18,1,15,Furnished,Apartment,2.7,3,3,9.2,6417000.0
Ghaziabad,1180,2,2,1,20,1,15,Semi-Furnished,Independent House,21.5,7,0,2.6,3995000.0
Greater Noida,1568,2,2,3,16,0,13,Furnished,Independent House,28.2,8,7,8.5,6807000.0
Faridabad,1119,2,2,1,11,2,5,Furnished,Builder Floor,20.9,6,0,2.4,3662000.0
Ghaziabad,2242,5,4,1,7,1,1,Unfurnished,Apartment,34.9,7,0,6.9,6071000.0
Greater Noida,2459,5,5,2,17,1,13,Unfurnished,Builder Floor,16.5,7,5,2.4,8162000.0
Faridabad,1596,3,2,2,17,0,15,Unfurnished,Apartment,26.5,1,0,9.3,3448000.0
Noida,2054,4,3,1,12,1,22,Semi-Furnished,Apartment,23.7,8,3,6.1,6931000.0
Greater Noida,2135,4,3,1,13,2,29,Semi-Furnished,Apartment,34.7,5,4,4.0,6176000.0
Ghaziabad,1952,3,2,3,10,2,19,Furnished,Apartment,25.2,3,0,2.3,5931000.0
Gurgaon,1101,1,1,2,7,1,12,Furnished,Apartment,6.6,4,2,4.3,6374000.0
Greater Noida,2054,4,3,1,14,2,14,Unfurnished,Builder Floor,33.5,9,3,7.3,6100000.0
Gurgaon,1913,3,3,0,23,0,11,Semi-Furnished,Apartment,23.7,4,4,4.5,9302000.0
Faridabad,1641,3,3,1,1,0,8,Unfurnished,Independent House,3.0,6,5,3.2,6741000.0
Noida,1948,4,4,1,17,2,25,Unfurnished,Apartment,23.4,8,0,6.2,6015000.0
Delhi,1698,3,2,1,4,1,17,Furnished,Villa,31.0,6,4,4.8,13461000.0
Noida,1852,3,3,2,21,1,20,Semi-Furnished,Villa,20.6,8,2,2.5,9663000.0
Greater Noida,2592,5,5,0,5,1,13,Semi-Furnished,Apartment,13.0,3,3,2.4,9247000.0
Gurgaon,1211,2,2,2,20,2,19,Furnished,Apartment,28.9,9,3,7.4,5651000.0
Gurgaon,1937,3,2,1,24,1,24,Unfurnished,Apartment,27.6,9,5,9.8,7250000.0
Ghaziabad,1993,3,3,2,23,2,3,Semi-Furnished,Builder Floor,19.5,3,5,3.1,6453000.0
Gurgaon,1994,3,2,2,7,1,7,Furnished,Builder Floor,6.2,5,5,8.0,13042000.0
Ghaziabad,1930,4,4,0,10,0,7,Semi-Furnished,Apartment,9.5,7,4,1.8,7301000.0
Faridabad,928,1,1,1,17,2,21,Unfurnished,Builder Floor,26.1,8,0,4.4,2205000.0
Delhi,1655,3,2,1,7,0,21,Furnished,Apartment,28.4,0,1,5.6,7455000.0
Greater Noida,1478,2,1,2,1,2,15,Unfurnished,Apartment,10.5,0,7,3.4,4120000.0
Ghaziabad,1960,3,3,2,7,1,26,Furnished,Builder Floor,13.5,7,3,5.8,6239000.0
Delhi,1462,3,3,1,24,1,23,Unfurnished,Apartment,3.6,6,1,8.9,7515000.0
Gurgaon,2110,4,3,1,11,1,27,Unfurnished,Builder Floor,25.3,8,6,9.5,8773000.0
Gurgaon,1406,2,2,1,9,0,28,Semi-Furnished,Apartment,1.1,2,3,1.9,7593000.0
Delhi,1504,3,2,2,12,1,27,Semi-Furnished,Villa,2.6,9,7,3.4,14281000.0
Gurgaon,1014,2,1,1,3,2,9,Unfurnished,Apartment,1.1,4,5,9.8,5428000.0
Faridabad,2058,4,4,1,4,2,24,Semi-Furnished,Apartment,22.9,2,7,3.4,4872000.0
Faridabad,2211,4,4,1,4,1,20,Unfurnished,Builder Floor,15.2,4,0,7.2,5496000.0
Delhi,2458,5,5,0,13,2,26,Furnished,Apartment,11.1,9,0,3.3,12760000.0
Ghaziabad,2059,4,3,2,23,2,16,Unfurnished,Villa,32.0,0,3,4.2,7136000.0
Ghaziabad,1844,4,3,0,19,1,0,Unfurnished,Independent House,7.6,3,4,2.7,8568000.0
Delhi,1330,2,2,2,10,0,17,Unfurnished,Builder Floor,14.2,5,6,8.7,6146000.0
Ghaziabad,1164,2,1,1,5,2,9,Furnished,Independent House,33.0,1,7,8.9,3981000.0
Ghaziabad,1592,3,3,1,7,1,25,Semi-Furnished,Villa,15.5,6,5,3.7,6637000.0
Faridabad,2320,4,3,2,24,2,20,Semi-Furnished,Villa,19.9,7,0,8.4,8541000.0
Ghaziabad,2200,4,4,3,16,2,3,Semi-Furnished,Independent House,3.7,0,6,4.2,9981000.0
Noida,1373,2,2,2,1,2,0,Semi-Furnished,Independent House,27.9,3,6,1.9,7157000.0
Greater Noida,1864,4,3,1,12,1,3,Furnished,Apartment,15.4,3,0,7.8,6945000.0
Gurgaon,1786,3,3,1,2,1,3,Unfurnished,Apartment,28.2,4,2,6.4,8041000.0
Noida,1894,3,3,2,7,1,25,Semi-Furnished,Builder Floor,9.6,3,7,3.5,8383000.0
Ghaziabad,1414,2,1,1,11,1,3,Furnished,Apartment,15.4,8,6,3.3,4756000.0
Faridabad,629,1,1,1,13,0,16,Semi-Furnished,Apartment,27.7,6,0,9.8,1404000.0
Delhi,1665,3,2,2,2,1,8,Semi-Furnished,Apartment,34.1,1,2,8.8,7439000.0
Ghaziabad,1727,3,3,2,7,1,29,Furnished,Apartment,3.0,0,0,8.3,4872000.0
Faridabad,1491,2,1,3,15,2,18,Unfurnished,Independent House,28.6,8,0,2.2,4059000.0
Greater Noida,1616,3,3,3,11,0,12,Unfurnished,Villa,11.2,0,6,7.8,6922000.0
Ghaziabad,2119,4,4,2,2,1,3,Semi-Furnished,Apartment,19.7,5,4,2.9,6824000.0
Delhi,2198,4,4,0,7,0,4,Furnished,Builder Floor,10.9,1,4,9.8,14794000.0
Faridabad,1904,4,4,1,4,0,28,Unfurnished,Independent House,21.9,3,5,1.5,5592000.0
Faridabad,1329,2,1,2,11,0,12,Semi-Furnished,Apartment,13.0,5,7,4.2,3645000.0
Faridabad,1046,2,1,1,2,1,22,Semi-Furnished,Independent House,12.3,4,0,4.9,3242000.0
Greater Noida,1998,3,2,1,16,0,15,Semi-Furnished,Apartment,2.3,5,7,8.4,7224000.0
Ghaziabad,1713,3,2,1,7,1,21,Semi-Furnished,Apartment,6.0,2,5,7.9,4977000.0
Greater Noida,746,1,1,1,13,1,4,Semi-Furnished,Villa,32.2,4,5,4.4,3891000.0
Gurgaon,1461,2,1,2,5,2,7,Semi-Furnished,Apartment,34.9,1,5,6.1,6491000.0
Gurgaon,1983,3,2,0,17,2,15,Semi-Furnished,Builder Floor,27.5,6,5,8.5,10036000.0
Ghaziabad,1485,2,2,1,21,2,29,Unfurnished,Independent House,10.8,2,3,1.2,5033000.0
Greater Noida,1409,2,2,1,12,2,0,Semi-Furnished,Apartment,14.7,0,6,8.2,4634000.0
Delhi,1026,2,2,2,19,2,22,Unfurnished,Builder Floor,26.1,7,6,9.5,4896000.0
Faridabad,628,1,1,1,7,2,27,Unfurnished,Villa,33.9,7,3,1.3,2311000.0
Faridabad,1670,3,2,1,6,1,5,Semi-Furnished,Apartment,16.5,2,0,1.4,4761000.0
Ghaziabad,1900,3,2,2,8,0,10,Semi-Furnished,Independent House,29.2,6,3,4.1,7035000.0
Gurgaon,1652,3,2,1,13,1,15,Semi-Furnished,Builder Floor,34.2,8,0,1.8,8118000.0
Gurgaon,1384,2,2,0,5,1,4,Semi-Furnished,Builder Floor,30.7,7,4,5.3,7830000.0
Faridabad,1059,2,1,1,2,1,15,Unfurnished,Builder Floor,8.7,2,6,7.6,2803000.0
Ghaziabad,1506,3,3,1,9,1,6,Semi-Furnished,Apartment,1.3,1,1,6.1,5404000.0
Greater Noida,1619,3,2,3,11,2,18,Unfurnished,Villa,17.7,9,2,2.8,7547000.0
Gurgaon,1840,3,2,1,24,2,0,Furnished,Villa,19.1,6,6,6.9,16466000.0
Greater Noida,1563,2,1,2,6,1,8,Furnished,Builder Floor,7.8,6,3,7.2,6632000.0
Gurgaon,2371,4,3,0,7,1,17,Semi-Furnished,Independent House,10.7,8,3,9.4,13464000.0
Gurgaon,1545,2,2,1,7,2,12,Furnished,Builder Floor,27.0,4,4,2.3,9370000.0
Noida,1495,3,3,2,19,1,25,Furnished,Apartment,17.0,3,3,7.2,5612000.0
Gurgaon,1488,3,2,1,6,1,14,Semi-Furnished,Builder Floor,11.8,7,0,9.2,7180000.0
Delhi,1630,3,3,1,11,1,2,Furnished,Builder Floor,22.2,3,0,5.5,10610000.0
Ghaziabad,1274,2,1,1,11,1,23,Furnished,Builder Floor,23.2,3,1,4.3,4001000.0
Ghaziabad,1645,3,2,1,7,1,27,Unfurnished,Independent House,27.2,1,1,2.5,4191000.0
Greater Noida,1910,4,3,2,2,2,9,Furnished,Apartment,6.3,0,6,8.8,7708000.0
Gurgaon,1233,2,1,1,19,1,8,Unfurnished,Apartment,26.2,3,1,4.5,4966000.0
Delhi,1277,2,2,2,4,0,12,Unfurnished,Apartment,21.4,6,0,9.3,5496000.0
Greater Noida,1476,2,1,2,6,1,15,Unfurnished,Apartment,3.0,8,7,8.6,5221000.0
Noida,2216,4,3,1,17,1,2,Furnished,Independent House,27.4,8,5,4.4,13344000.0
Greater Noida,727,1,1,0,5,2,21,Unfurnished,Builder Floor,14.0,9,5,6.2,2356000.0
Greater Noida,2436,5,4,1,7,1,22,Semi-Furnished,Builder Floor,12.2,0,1,1.2,7722000.0
Gurgaon,1527,3,3,2,9,1,14,Semi-Furnished,Apartment,16.2,4,1,3.4,7181000.0
Noida,2593,5,4,1,1,1,16,Semi-Furnished,Builder Floor,12.8,6,0,7.4,10959000.0
Greater Noida,2674,5,4,2,1,1,13,Unfurnished,Apartment,12.5,6,4,7.1,8685000.0
Delhi,1794,3,2,1,19,1,6,Semi-Furnished,Apartment,28.5,9,6,4.2,9738000.0
Delhi,1110,2,1,2,6,1,19,Unfurnished,Independent House,5.2,5,3,8.3,6654000.0
Ghaziabad,1089,2,1,0,18,1,15,Semi-Furnished,Independent House,34.0,9,6,3.1,3917000.0
Noida,1279,2,1,2,10,1,20,Unfurnished,Apartment,19.9,3,2,5.2,4212000.0
Noida,1732,3,3,1,11,1,7,Unfurnished,Apartment,7.2,2,5,5.3,6869000.0
Ghaziabad,1223,2,1,1,1,2,3,Furnished,Apartment,5.5,8,7,4.1,5650000.0
Greater Noida,1100,2,2,1,1,2,19,Unfurnished,Apartment,21.1,9,5,9.6,3029000.0
Noida,1531,3,3,1,13,1,23,Furnished,Builder Floor,22.5,3,0,7.3,5934000.0
Delhi,1812,4,3,3,5,1,14,Furnished,Apartment,2.8,7,6,5.9,13190000.0
Delhi,1456,2,2,1,20,1,4,Furnished,Builder Floor,9.3,0,7,5.6,10272000.0
